date,label,description,category
6/16/2015,Trump Campaign Launch,"Donald Trump announces 2016 presidential campaign","US election"
8/6/2015,First GOP Debate,"First Republican primary debate (Fox News)","US election"
6/23/2016,Brexit referendum,"UK votes to leave the EU","EU politics"
7/7/2016,Dallas shooting,"Police shootings and Black Lives Matter protests intensify","US domestic"
7/22/2016,DNC email leak,"WikiLeaks releases DNC emails","US election"
10/7/2016,Access Hollywood & Podesta emails,"Trump tape released, Podesta emails start dropping","US election"
11/8/2016,US Election 2016,"Donald Trump elected President of the United States","US election"
1/6/2017,US Intelligence Confirms Russian Interference,"US intelligence agencies publicly confirm Russian interference in 2016 election","US politics"
1/20/2017,Trump inauguration,"Inauguration of President Trump","US election"
4/7/2017,US Syria strike,"US launches missile strike on Syrian airbase","Geopolitics"
8/12/2017,Charlottesville rally,"Unite the Right rally and counter-protests in Charlottesville","US domestic"
10/1/2017,Las Vegas shooting,"Mass shooting in Las Vegas, Nevada","US domestic"
2/16/2018,Mueller IRA indictment,"US DOJ indicts Internet Research Agency and individuals","Investigation"
